Loss                          | Accuracy
108125.636516                 | 0.5397274
105867.3585508                | 0.5483163
102971.9922907                | 0.5593649
102346.4399481                | 0.5606601
101948.3499925                | 0.561652
101451.7129669                | 0.5625817
100926.5785034                | 0.5640974
100363.9779416                | 0.5656386
99649.0432043                 | 0.5677415
99155.0003087                 | 0.5689796
98864.3927986                 | 0.569769
98554.4328691                 | 0.5706867
98328.6178883                 | 0.5716886
98117.9644354                 | 0.572444
97880.2833737                 | 0.5731456
97637.8650512                 | 0.5738463
97417.2251214                 | 0.5745973
97192.1632908                 | 0.5751229
96943.2272954                 | 0.5756394
96840.4868306                 | 0.5759532
96744.0432557                 | 0.5760534
96567.1970506                 | 0.5764898
96342.8341598                 | 0.577242
96214.5354415                 | 0.5775571
96072.1014351                 | 0.5781734
95912.7715697                 | 0.5787521
95764.8531723                 | 0.5791909
95531.3112499                 | 0.5800366
95332.3069063                 | 0.5806412
95303.7626081                 | 0.5808722
95289.4003888                 | 0.5808065
95291.4163766                 | 0.5809119
95070.8272855                 | 0.5814645
94845.3978123                 | 0.5819637
94386.6450137                 | 0.5832355
94059.2895703                 | 0.5842478
93805.4339374                 | 0.5849799
93514.2296518                 | 0.5856799
93074.2530789                 | 0.5871664
92659.7616535                 | 0.5882958
92221.1990507                 | 0.5895819
91853.6016261                 | 0.590698
91488.1791798                 | 0.5918959
91203.7646829                 | 0.5926511
90977.4985794                 | 0.5933849
90726.6926095                 | 0.594363
90424.606093                  | 0.595128
90147.4972124                 | 0.5960518
89881.3966336                 | 0.5969336
89628.3348812                 | 0.597706
89338.6725572                 | 0.5985014
89081.4796771                 | 0.5995348
88799.8708134                 | 0.6002826
88553.8963076                 | 0.6009804
88283.2538774                 | 0.6017833
88025.5140263                 | 0.6025614
87800.1808114                 | 0.603084
87510.0935348                 | 0.6039172
87243.6959025                 | 0.6044705
87041.6368311                 | 0.6051128
86762.9474818                 | 0.605852
86532.5932078                 | 0.6064317
86328.2117835                 | 0.6069506
86098.768999                  | 0.6075675
85851.5040569                 | 0.6082053
85651.1084897                 | 0.6087274
85400.0373777                 | 0.6094358
85244.8893319                 | 0.6098375
85014.928414                  | 0.6103851
84817.9419443                 | 0.6109019
84700.937682                  | 0.6112273
84505.1876842                 | 0.6118456
84364.4681795                 | 0.612163
84174.6143565                 | 0.6126644
83985.5964767                 | 0.6131421
83852.6763867                 | 0.613446
83710.358142                  | 0.6139428
83571.8594445                 | 0.6142714
83430.9083795                 | 0.6145391
83307.5722126                 | 0.6149474
